Fecha,Precio medio diario sin impuestos (€/MWh),Impuesto eléctrico (€/MWh),IVA (€/MWh),Precio total con impuestos (€/MWh)
2014-04-01,24.8275,1.2693546788480001,5.48033948255808,31.57719416140608
2014-04-02,38.73166666666666,1.9802324963413331,8.549498824231678,49.26139798723967
2014-04-03,34.61541666666667,1.7697811340693335,7.64089153815456,44.026089338890564
2014-04-04,12.133750000000001,0.620361789728,2.67836347584288,15.43247526557088
2014-04-05,22.364999999999995,1.1434545319679998,4.936775451713279,28.445229983681273
2014-04-06,26.097083333333334,1.3342646192106666,5.76058307003424,33.191931022578245
2014-04-07,38.14791666666667,1.9503871315733334,8.420643797630401,48.5189475958704
2014-04-08,40.155,2.0530032072960003,8.86368067353216,51.07168388082816
2014-04-09,36.83250000000001,1.8831338720640005,8.130283113133443,46.845916985197455
2014-04-10,38.15208333333334,1.950600160586667,8.4215635337232,48.524247027643206
2014-04-11,32.57625,1.665524734944,7.19077269433824,41.432547429282245
2014-04-12,14.716666666666669,0.7524184750933335,3.2485078797696003,18.717593021529602
2014-04-13,14.168750000000003,0.7244051598400002,3.1275625835664003,18.020717743406404
2014-04-14,29.82625,1.524925586144,6.583746873090241,37.934922459234244
2014-04-15,42.14541666666667,2.1547671669653337,9.30303860506272,53.60322243869473
2014-04-16,42.43291666666667,2.1694661688853336,9.366500395465922,53.96888323101793
2014-04-17,28.78125,1.4714979096,6.353077061016,36.605824970616
2014-04-18,27.43875,1.402859961504,6.05673809191584,34.89834805341984
2014-04-19,26.5725,1.358571229632,5.8655249582227205,33.796596187854725
2014-04-20,18.642083333333336,0.9531131085546668,4.1149912527964805,23.710187694684485
2014-04-21,35.411249999999995,1.8104696756159997,7.816561131879358,45.038280807495354
2014-04-22,32.78291666666666,1.676090974005333,7.236391604541118,41.69539924521311
2014-04-23,42.57875,2.176922184352,9.39869115871392,54.154363343065924
2014-04-24,36.60916666666667,1.8717155169493334,8.08098525855936,46.56186744217536
2014-04-25,13.407499999999999,0.685484759104,2.9595267994118397,17.05251155851584
2014-04-26,11.429166666666667,0.5843385835733333,2.5228361025504,14.5363413527904
2014-04-27,17.072499999999998,0.8728650792319999,3.7685266666387194,21.71389174587072
2014-04-28,40.105,2.0504468591359997,8.85264384041856,51.00809069955456
2014-04-29,40.76625000000001,2.0842545635520002,8.998605958345921,51.84911052189793
2014-04-30,42.99583333333334,2.198246388586667,9.490756741603201,54.684836463523204
2014-05-01,33.31833333333333,1.7034652022186665,7.354577692465918,42.37637622801791
2014-05-02,26.388333333333335,1.3491553472426667,5.82487262292096,33.562361303496964
2014-05-03,31.812083333333334,1.6264552138986668,7.02209309491872,40.460631642150716
2014-05-04,44.33833333333333,2.2668843366826668,9.787095710703358,56.39231338071936
2014-05-05,51.444583333333334,2.6302053189226666,11.35570561697376,65.43049426922977
2014-05-06,53.069583333333334,2.713286634122667,11.71440269316576,67.49727266062176
2014-05-07,57.15958333333336,2.922395913610668,12.617215641858246,72.69919488880228
2014-05-08,55.33291666666668,2.8290039941653338,12.214003338774722,70.37592399960673
2014-05-09,58.569583333333334,2.9944849317226665,12.92845433566176,74.49252260071776
2014-05-10,53.98208333333333,2.7599399880426665,11.915824897488958,68.65784821886496
2014-05-11,46.412083333333335,2.372908876618667,10.24484836408992,59.02984057404192
